from,to,weight
14863,21507,0.5
14863,21509,7
14863,21510,7
14863,21512,7
14863,21513,7
14863,21514,7
14863,21515,7
14863,21516,7
14863,21519,7
14863,21520,7
14863,21521,7
14863,21522,7
14863,21523,7
14863,21524,7
14863,21526,7
14863,21527,7
14863,21528,7
14863,21531,7
14863,21532,2
14863,21537,7
14863,21539,7
14863,21541,7
14863,21542,7
14863,21543,7
14863,21544,7
14863,21546,7
14863,21547,7
14863,21549,7
14863,21550,7
14863,21551,7
14863,21552,7
14863,21553,7
14863,21554,0.5
14863,21555,7
14863,21556,7
14863,21557,7
14863,21558,7
14863,21559,7
14863,21560,7
14863,21561,7
14863,21562,7
14863,21563,7
14863,21564,7
14863,21565,7
14863,21700,7
14863,21701,7
14863,21702,7
14863,21704,7
14863,21705,7
14863,21708,7
14863,21710,7
14863,21714,7
14863,21716,7
14863,21717,7
14863,21718,7
14863,21719,7
14863,21720,7
14863,21721,7
14863,21724,7
14863,21725,7
14863,21727,7
14863,21731,7
14863,21733,7
14863,21734,7
14863,21735,7
14863,21737,7
14863,21742,7
14863,21744,7
14863,21745,7
14863,21748,7
14863,21749,7
14863,21750,3
14863,21751,3
14863,21752,3
14863,21753,2.5
14863,21755,3
14863,29127,4
14863,29143,7
14863,29321,7
14863,29323,7
14863,29346,2
14863,29375,7
14863,29378,0.5
14863,29393,7
14863,29539,7
14863,29541,7
14863,29546,5
14863,29550,7
14863,29565,7
14863,29572,7
14863,29587,1.5
14863,29588,2
14863,29701,7
14863,29717,0.5
14863,29718,7
14863,29759,7
14863,29760,7
14863,29762,7
14863,29769,1
14863,29910,7
14863,29932,7
14863,31102,7
14863,31103,1
14863,39305,2
14863,39308,7
14873,10713,4
14873,14263,7
14873,15019,7
14873,15029,7
14873,15033,7
14873,15124,7
14873,15410,7
14873,15431,7
14873,15438,7
14873,15444,5
14873,15448,7
14873,15454,7
14873,15603,7
14873,15612,7
14873,15616,7
14873,20104,7
14873,20108,7
14873,20119,7
14873,20122,7
14873,20134,1
14873,20136,6
14873,20145,7
14873,20147,7
14873,20305,7
14873,20310,7
14873,20321,7
14873,20325,1
14873,20329,7
14873,20340,7
14873,20343,7
14873,20501,6
14873,20504,7
14873,20505,2
14873,20508,3
14873,20517,7
14873,20519,7
14873,20529,7
14873,20533,5
14873,20536,0.5
14873,20537,7
14873,20538,7
14873,20542,7
14873,20702,7
14873,20705,7
14873,20706,7
14873,20708,7
14873,20712,7
14873,20720,7
14873,20723,7
14873,20724,7
14873,20726,6
14873,20727,7
14873,20731,7
14873,20733,7
14873,20748,7
14873,20749,7
14873,20750,7
14873,20754,7
14873,20757,7
14873,20759,1.5
14873,20762,7
14873,20904,7
14873,20906,1
14873,20907,7
14873,20920,7
14873,20927,7
14873,20932,7
14873,20934,7
14873,20941,6.5
14873,20944,6.5
14873,20946,1
14873,20952,7
14873,20954,7
14873,20955,7
14873,20958,7
14873,20959,7
14873,21102,7
14873,21103,0.5
14873,21110,6.5
14873,21118,7
14873,21124,7
14873,21137,7
14873,21140,7
14873,21167,1
14873,21168,1
14873,21171,1
14873,21172,7
14873,21176,2
14873,21177,1
14873,21198,6.5
14873,21300,7
14873,21303,6.5
14873,21304,7
14873,21306,7
14873,21308,7
14873,21309,7
14873,21311,7
14873,21312,7
14873,21313,7
14873,21314,7
14873,21315,7
14873,21316,7
14873,21321,7
14873,21324,6
14873,21326,7
14873,21329,7
14873,21334,7
14873,21335,7
14873,21340,7
14873,21341,7
14873,21342,7
14873,21343,7
14873,21344,7
14873,21352,7
14873,21353,0.5
14873,21357,1
14873,21358,6
14873,21361,7
14873,21362,7
14873,21365,6.5
14873,21366,7
14873,21368,7
14873,21369,7
14873,21370,7
14873,21371,7
14873,21372,7
14873,21375,7
14873,21502,7
14873,21504,7
14873,21506,7
14873,21507,6.5
14873,21508,7
14873,21525,7
14873,21529,7
14873,21530,7
14873,21532,2
14873,21536,7
14873,21538,7
14873,21540,7
14873,21545,7
14873,21548,7
14873,21554,6.5
14873,21566,7
14873,21703,7
14873,21706,7
14873,21707,7
14873,21709,7
14873,21711,7
14873,21712,7
14873,21713,7
14873,21715,7
14873,21722,7
14873,21723,7
14873,21726,7
14873,21728,7
14873,21729,7
14873,21730,7
14873,21732,7
14873,21736,7
14873,21738,7
14873,21739,7
14873,21740,7
14873,21741,7
14873,21743,7
14873,21746,7
14873,21747,7
14873,21753,0.5
14873,21754,3
14873,29106,7
14873,29109,7
14873,29127,3
14873,29134,7
14873,29312,7
14873,29317,7
14873,29337,7
14873,29339,7
14873,29346,5
14873,29348,7
14873,29368,7
14873,29377,7
14873,29378,6.5
14873,29379,7
14873,29504,7
14873,29546,2
14873,29561,7
14873,29571,7
14873,29573,7
14873,29587,5.5
14873,29588,5
14873,29707,7
14873,29710,7
14873,29717,6.5
14873,29729,7
14873,29741,7
14873,29768,7
14873,29769,6
14873,29776,7
14873,29777,7
14873,29778,7
14873,29901,7
14873,29903,7
14873,29908,7
14873,29911,7
14873,29919,7
14873,29925,7
14873,31101,7
14873,31103,6
14873,39301,7
14873,39304,7
14873,39305,5
14873,39307,7
15019,10713,4
15019,14263,7
15019,14873,7
15019,15029,7
15019,15033,7
15019,15124,7
15019,15410,7
15019,15431,7
15019,15438,7
15019,15444,5
15019,15448,7
15019,15454,7
